"Site.Name","Date","PM2.5","Ozone"
"Hattie Avenue",2018-02-10,50.5,NA
"Leggett",2018-02-10,25,NA
"Linville Falls",2018-02-10,14,NA
"Mendenhall School",2018-02-10,49,NA
"Millbrook School",2018-02-10,35,20
"Pitt Agri. Center",2018-02-10,24,NA
"West Johnston Co.",2018-02-10,38,NA
"Bryson City",2018-02-11,20,NA
"Castle Hayne",2018-02-11,10,NA
"Clemmons Middle",2018-02-11,24,NA
"Durham Armory",2018-02-11,15,NA
"Garinger High School",2018-02-11,18,20
"Hattie Avenue",2018-02-11,23,NA
"Leggett",2018-02-11,23,NA
"Mendenhall School",2018-02-11,18,NA
"Millbrook School",2018-02-11,30,23
"Pitt Agri. Center",2018-02-11,25,NA
"West Johnston Co.",2018-02-11,29,NA
"Bryson City",2018-02-12,4,NA
"Castle Hayne",2018-02-12,2,NA
"Clemmons Middle",2018-02-12,17,NA
"Durham Armory",2018-02-12,13,NA
"Garinger High School",2018-02-12,13,32
"Hattie Avenue",2018-02-12,15,NA
"Leggett",2018-02-12,12,NA
"Mendenhall School",2018-02-12,13,NA
"Millbrook School",2018-02-12,20,28
"Pitt Agri. Center",2018-02-12,12,NA
"West Johnston Co.",2018-02-12,16,NA
"Bryson City",2018-02-13,13,NA
"Castle Hayne",2018-02-13,20,NA
"Clemmons Middle",2018-02-13,30,NA
"Durham Armory",2018-02-13,29,NA
"Frying Pan Mountain",2018-02-13,3,NA
"Garinger High School",2018-02-13,22.5,32
"Hattie Avenue",2018-02-13,24.5,NA
"Leggett",2018-02-13,23,NA
"Linville Falls",2018-02-13,11,NA
"Mendenhall School",2018-02-13,26,NA
"Millbrook School",2018-02-13,28,31
"Pitt Agri. Center",2018-02-13,26.5,NA
"West Johnston Co.",2018-02-13,34,NA
"Bryson City",2018-02-14,28,NA
"Castle Hayne",2018-02-14,15,NA
"Clemmons Middle",2018-02-14,50,NA
"Durham Armory",2018-02-14,49,NA
"Garinger High School",2018-02-14,33,22
"Hattie Avenue",2018-02-14,45,NA
"Leggett",2018-02-14,35,NA
"Mendenhall School",2018-02-14,45,NA
"Millbrook School",2018-02-14,48,24
"Pitt Agri. Center",2018-02-14,36,NA
"West Johnston Co.",2018-02-14,52,NA
"Bryson City",2018-02-15,17,NA
"Castle Hayne",2018-02-15,15,NA
"Clemmons Middle",2018-02-15,34,NA
"Durham Armory",2018-02-15,27,NA
"Garinger High School",2018-02-15,24,25
"Hattie Avenue",2018-02-15,34,NA
"Leggett",2018-02-15,30,NA
"Mendenhall School",2018-02-15,28,NA
"Millbrook School",2018-02-15,32,24
"Pitt Agri. Center",2018-02-15,33,NA
"West Johnston Co.",2018-02-15,40,NA
"Bryson City",2018-02-16,15,NA
"Castle Hayne",2018-02-16,25,NA
"Clemmons Middle",2018-02-16,25,NA
"Durham Armory",2018-02-16,25,NA
"Frying Pan Mountain",2018-02-16,8,NA
"Garinger High School",2018-02-16,23,34
"Hattie Avenue",2018-02-16,20.5,NA
"Leggett",2018-02-16,18,NA
"Linville Falls",2018-02-16,10,NA
"Mendenhall School",2018-02-16,18,NA
"Millbrook School",2018-02-16,26,32
"Pitt Agri. Center",2018-02-16,25.5,NA
"West Johnston Co.",2018-02-16,27,NA
"Bryson City",2018-02-17,15,NA
"Castle Hayne",2018-02-17,11,NA
"Clemmons Middle",2018-02-17,26,NA
"Durham Armory",2018-02-17,27,NA
"Garinger High School",2018-02-17,20,26
"Hattie Avenue",2018-02-17,23,NA
"Leggett",2018-02-17,13,NA
"Mendenhall School",2018-02-17,18,NA
"Millbrook School",2018-02-17,31,28
"Pitt Agri. Center",2018-02-17,19,NA
"West Johnston Co.",2018-02-17,29,NA
"Bryson City",2018-02-18,7,NA
"Castle Hayne",2018-02-18,13,NA
"Clemmons Middle",2018-02-18,22,NA
"Durham Armory",2018-02-18,16,NA
"Garinger High School",2018-02-18,25,36
"Hattie Avenue",2018-02-18,18,NA
"Leggett",2018-02-18,4,NA
"Mendenhall School",2018-02-18,22,NA
"Millbrook School",2018-02-18,21,35
"Pitt Agri. Center",2018-02-18,10,NA
"West Johnston Co.",2018-02-18,15,NA
"Bryson City",2018-02-19,25,NA
"Castle Hayne",2018-02-19,10,NA
"Clemmons Middle",2018-02-19,38,NA
"Durham Armory",2018-02-19,28,NA
"Frying Pan Mountain",2018-02-19,9,NA
"Garinger High School",2018-02-19,30.5,20
"Hattie Avenue",2018-02-19,38,NA
"Leggett",2018-02-19,23,NA
"Linville Falls",2018-02-19,13,NA
"Mendenhall School",2018-02-19,32,NA
"Millbrook School",2018-02-19,38.5,23
"Pitt Agri. Center",2018-02-19,26.5,NA
"West Johnston Co.",2018-02-19,45,NA
"Bryson City",2018-02-20,34,NA
"Clemmons Middle",2018-02-20,54,NA
"Durham Armory",2018-02-20,47,NA
"Garinger High School",2018-02-20,34,24
"Hattie Avenue",2018-02-20,43,NA
"Leggett",2018-02-20,40,NA
"Mendenhall School",2018-02-20,40,NA
"Millbrook School",2018-02-20,61,17
"Pitt Agri. Center",2018-02-20,30,NA
"West Johnston Co.",2018-02-20,55,NA
"Bryson City",2018-02-21,24,NA
"Castle Hayne",2018-02-21,4,NA
"Clemmons Middle",2018-02-21,38,NA
"Durham Armory",2018-02-21,25,NA
"Garinger High School",2018-02-21,23,22
"Hattie Avenue",2018-02-21,36,NA
"Leggett",2018-02-21,23,NA
"Mendenhall School",2018-02-21,31,NA
"Millbrook School",2018-02-21,28,16
"Pitt Agri. Center",2018-02-21,25,NA
"West Johnston Co.",2018-02-21,26,NA
